"data:[{""id"":""1""";"nim:""20.90.1234""";"nama:""Mansur Tri""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Yogyakarta""}"
"{""id"":""2""";"nim:""20.90.1235""";"nama:""Agung Surya""";"jk:""L""";"jurusan:""Informatika""";"alamat:""Sleman""}"
"{""id"":""3""";"nim:""20.90.1236""";"nama:""Krisna Imran""";"jk:""L""";"jurusan:""Sistem Informasi""";"alamat:""Bantul""}"
"{""id"":""4""";"nim:""20.90.1237""";"nama:""Kusuma Ruslan""";"jk:""L""";"jurusan:""Teknologi Informasi""";"alamat:""Gunung Kidul""}"
"{""id"":""5""";"nim:""20.90.1238""";"nama:""Bagus Sri""";"jk:""L""";"jurusan:""Teknik Elektro""";"alamat:""Kulonprogo""}"
"{""id"":""6""";"nim:""20.90.1239""";"nama:""Irfan Harun""";"jk:""L""";"jurusan:""Informatika""";"alamat:""Sleman""}"
"{""id"":""7""";"nim:""20.90.1230""";"nama:""Dian Akhmad""";"jk:""L""";"jurusan:""Informatika""";"alamat:""Sleman""}"
"{""id"":""8""";"nim:""20.90.1231""";"nama:""Lutfi Ali""";"jk:""L""";"jurusan:""Sistem Informasi""";"alamat:""Sleman""}"
"{""id"":""9""";"nim:""20.90.1232""";"nama:""Zulfikar Amir""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Sleman""}"
"{""id"":""10""";"nim:""20.90.1232""";"nama:""Yuda Ismail""";"jk:""L""";"jurusan:""Teknologi Informasi""";"alamat:""Bantul""}"
"{""id"":""11""";"nim:""20.90.1241""";"nama:""Saiful Lutfi""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Gunung Kidul""}"
"{""id"":""12""";"nim:""20.90.1242""";"nama:""Mahmud Amir""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Sleman""}"
"{""id"":""13""";"nim:""20.90.1243""";"nama:""Buana Wira""";"jk:""L""";"jurusan:""Teknik Elektro""";"alamat:""Sleman""}"
"{""id"":""14""";"nim:""20.90.1244""";"nama:""Zakaria Aditya""";"jk:""L""";"jurusan:""Teknik Elektro""";"alamat:""Bantul""}"
"{""id"":""15""";"nim:""20.90.1245""";"nama:""Bima Hasan""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Sleman""}"
"{""id"":""16""";"nim:""20.90.1246""";"nama:""Dwi Anwar""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Gunung Kidul""}"
"{""id"":""17""";"nim:""20.90.1247""";"nama:""Eka Imran""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Bantul""}"
"{""id"":""18""";"nim:""20.90.1248""";"nama:""Bachtiar Abdul""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Sleman""}"
"{""id"":""19""";"nim:""20.90.1249""";"nama:""Akbar Lutfi""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Sleman""}"
"{""id"":""20""";"nim:""20.90.1250""";"nama:""Adi Eka""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Sleman""}"
"{""id"":""21""";"nim:""20.90.1252""";"nama:""Nur Arif""";"jk:""L""";"jurusan:""Sistem Informasi""";"alamat:""Sleman""}"
"{""id"":""22""";"nim:""20.90.1253""";"nama:""Tirto Guntur""";"jk:""L""";"jurusan:""Sistem Informasi""";"alamat:""Sleman""}"
"{""id"":""23""";"nim:""20.90.1251""";"nama:""Akhmad Ahmad""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Gunung Kidul""}"
"{""id"":""24""";"nim:""20.90.1255""";"nama:""Muhamad Anwar""";"jk:""L""";"jurusan:""Sistem Informasi""";"alamat:""Yogyakarta""}"
"{""id"":""25""";"nim:""20.90.1254""";"nama:""Amir Mansur""";"jk:""L""";"jurusan:""Teknik Komputer""";"alamat:""Gunung Kidul""}"
"{""id"":""26""";"nim:""20.90.1257""";"nama:""Wati Sri Batari""";"jk:""P""";"jurusan:""Informatika""";"alamat:""Sleman""}"
"{""id"":""27""";"nim:""20.90.1256""";"nama:""Annisa Ratna Dwi""";"jk:""P""";"jurusan:""Teknik Komputer""";"alamat:""Sleman""}"
"{""id"":""28""";"nim:""20.90.1258""";"nama:""Aisyah Annisa Vina""";"jk:""P""";"jurusan:""Teknik Komputer""";"alamat:""Sleman""}"
